user,item,rating
1232762,DS0103EN,3
1340444,CO0101EN,3
1310442,BD0211EN,3
1141000,BD0212EN,5
1802923,DS0101EN,4
435270,RP0151EN,5
1592207,SC0103EN,4
1452915,CP0101EN,4
1827156,DS0101EN,4
1113405,DS0301EN,3
1564951,BC0101EN,5
1220348,CO0401EN,3
1351651,BD0211EN,5
431092,PY0101EN,3
176742,CO0201EN,5
1648456,BD0221EN,4
1019482,PY0101EN,5
1907875,CC0103EN,3
997095,CO0201EN,4
1155978,BD0111EN,4
368969,ML0151EN,3
1301141,DB0101EN,4
1622833,PY0101EN,3
1223248,DS0101EN,3
1522397,DB0151EN,3
1621789,CP0101EN,4
1270000,CO0301EN,5
1529580,PY0101EN,3
1174591,DA0101EN,3
1901715,ML0115EN,3
1495536,BC0101EN,5
556609,DS0103EN,3
740602,BD0121EN,5
1811860,DS0103EN,4
1767415,CC0101EN,3
1404086,DS0105EN,5
1919268,DA0101EN,4
415191,ML0120ENv2,3
790788,DV0101EN,5
1095072,ML0115EN,3
1741543,DS0301EN,3
1033195,DA0101EN,4
478001,BD0135EN,3
1304947,SECM03EN,5
1928822,DV0101EN,3
753226,ML0151EN,5
696232,CO0401EN,3
1907191,DA0101EN,4
1644217,BD0111EN,5
997761,BD0111EN,4
1123478,DS0103EN,5
1068947,CB0103EN,3
1568372,BC0101EN,5
288541,DS0101EN,5
1070918,ML0101ENv3,4
997146,RP0105EN,4
1390366,BD0101EN,3
1351407,BD0101EN,5
1324161,BD0101EN,4
1305612,DS0101EN,5
597265,BD0211EN,3
732411,ML0151EN,5
750187,DV0101EN,5
991318,RP0101EN,3
505274,BD0141EN,4
1213325,CP0101EN,5
891304,CL0101EN,5
1051721,DV0101EN,4
40562,ML0122ENv1,5
1372141,DS0103EN,5
170740,WA0101EN,5
1384551,ML0122ENv3,5
1248888,PY0101EN,5
1010533,DV0101EN,4
1072275,CO0101EN,3
725017,CL0101EN,4
2005984,ML0101ENv3,5
1916547,ML0120ENv2,3
904005,PY0101EN,3
